temperature,x_m,y_m,z_m,x_mm,y_mm,z_mm,count,flag
28.1920944,-5.01E-06,9.54E-06,-5.48E-06,-0.00500679,0.009536743,-0.005483627,3,0
28.1920944,-5.25E-06,9.78E-06,-5.48E-06,-0.005245209,0.009775162,-0.005483627,0,0
28.1920944,-5.25E-06,9.78E-06,-5.48E-06,-0.005245209,0.009775162,-0.005483627,1,0
28.1920944,-5.72E-06,9.78E-06,-5.48E-06,-0.005722046,0.009775162,-0.005483627,2,0
28.1920944,-5.72E-06,9.78E-06,-5.48E-06,-0.005722046,0.009775162,-0.005483627,3,0
28.1920944,-5.72E-06,9.78E-06,-5.72E-06,-0.005722046,0.009775162,-0.005722046,0,0
28.1920944,-5.72E-06,1.00E-05,-5.72E-06,-0.005722046,0.01001358,-0.005722046,1,0
28.1920944,-5.96E-06,1.00E-05,-5.96E-06,-0.005960464,0.01001358,-0.005960464,2,0
28.1920944,-6.20E-06,1.03E-05,-5.72E-06,-0.006198883,0.010251999,-0.005722046,3,0
28.1920944,-6.20E-06,1.05E-05,-5.48E-06,-0.006198883,0.010490417,-0.005483627,0,0
28.1920944,-6.44E-06,1.07E-05,-5.48E-06,-0.006437302,0.010728836,-0.005483627,1,0
28.1920944,-6.44E-06,1.12E-05,-5.25E-06,-0.006437302,0.011205673,-0.005245209,2,0
28.1920944,-6.44E-06,1.12E-05,-5.25E-06,-0.006437302,0.011205673,-0.005245209,3,0
28.1920944,-6.20E-06,1.12E-05,-4.77E-06,-0.006198883,0.011205673,-0.004768372,0,0
28.1920944,-6.44E-06,1.14E-05,-4.77E-06,-0.006437302,0.011444092,-0.004768372,1,0
28.1920944,-6.20E-06,1.14E-05,-4.53E-06,-0.006198883,0.011444092,-0.004529953,2,0
28.1920944,-6.20E-06,1.14E-05,-4.77E-06,-0.006198883,0.011444092,-0.004768372,3,0
28.1920944,-6.44E-06,1.14E-05,-4.77E-06,-0.006437302,0.011444092,-0.004768372,0,0
28.1920944,-6.44E-06,1.17E-05,-4.53E-06,-0.006437302,0.01168251,-0.004529953,1,0
28.1920944,-6.68E-06,1.17E-05,-4.53E-06,-0.00667572,0.01168251,-0.004529953,2,0
28.1920944,-6.44E-06,1.22E-05,-4.77E-06,-0.006437302,0.012159348,-0.004768372,3,0
28.1920944,-6.68E-06,1.22E-05,-4.77E-06,-0.00667572,0.012159348,-0.004768372,0,0
28.1920944,-6.68E-06,1.24E-05,-4.77E-06,-0.00667572,0.012397766,-0.004768372,1,0
28.1920944,-6.91E-06,1.26E-05,-4.77E-06,-0.006914139,0.012636185,-0.004768372,2,0
28.1920944,-6.91E-06,1.29E-05,-4.77E-06,-0.006914139,0.012874603,-0.004768372,3,0
28.1920944,-6.68E-06,1.31E-05,-4.53E-06,-0.00667572,0.013113022,-0.004529953,0,0
28.1920944,-6.68E-06,1.34E-05,-4.77E-06,-0.00667572,0.01335144,-0.004768372,1,0
28.1920944,-6.68E-06,1.34E-05,-4.53E-06,-0.00667572,0.01335144,-0.004529953,2,0
28.1920944,-6.68E-06,1.34E-05,-4.53E-06,-0.00667572,0.01335144,-0.004529953,3,0
28.1920944,-6.68E-06,1.36E-05,-4.53E-06,-0.00667572,0.013589859,-0.004529953,0,0
28.1920944,-7.15E-06,1.38E-05,-4.53E-06,-0.007152557,0.013828278,-0.004529953,1,0
28.1920944,-7.39E-06,1.41E-05,-4.53E-06,-0.007390976,0.014066696,-0.004529953,2,0
28.1920944,-7.63E-06,1.43E-05,-4.53E-06,-0.007629395,0.014305115,-0.004529953,3,0
28.1920944,-8.11E-06,1.43E-05,-4.77E-06,-0.008106232,0.014305115,-0.004768372,0,0
28.1920944,-8.34E-06,1.45E-05,-4.77E-06,-0.00834465,0.014543533,-0.004768372,1,0
28.1920944,-8.34E-06,1.48E-05,-5.01E-06,-0.00834465,0.014781952,-0.00500679,2,0
28.1920944,-8.58E-06,1.50E-05,-5.01E-06,-0.008583069,0.01502037,-0.00500679,3,0
28.1920944,-8.58E-06,1.55E-05,-5.25E-06,-0.008583069,0.015497208,-0.005245209,0,0
28.1920944,-8.58E-06,1.55E-05,-5.01E-06,-0.008583069,0.015497208,-0.00500679,1,0
28.1920944,-8.58E-06,1.57E-05,-5.25E-06,-0.008583069,0.015735626,-0.005245209,2,0
28.1920944,-8.82E-06,1.60E-05,-5.48E-06,-0.008821487,0.015974045,-0.005483627,3,0
28.1920944,-8.82E-06,1.62E-05,-5.25E-06,-0.008821487,0.016212463,-0.005245209,0,0
28.1920944,-8.82E-06,1.65E-05,-5.25E-06,-0.008821487,0.016450882,-0.005245209,1,0
28.1920944,-9.06E-06,1.65E-05,-5.25E-06,-0.009059906,0.016450882,-0.005245209,2,0
28.1920944,-9.30E-06,1.67E-05,-5.01E-06,-0.009298325,0.016689301,-0.00500679,3,0
28.1920944,-9.30E-06,1.69E-05,-5.01E-06,-0.009298325,0.016927719,-0.00500679,0,0
28.1920944,-9.54E-06,1.72E-05,-4.77E-06,-0.009536743,0.017166138,-0.004768372,1,0
28.1920944,-9.54E-06,1.74E-05,-5.01E-06,-0.009536743,0.017404556,-0.00500679,2,0
28.1920944,-9.30E-06,1.79E-05,-5.25E-06,-0.009298325,0.017881393,-0.005245209,3,0
28.1920944,-9.54E-06,1.81E-05,-5.25E-06,-0.009536743,0.018119812,-0.005245209,0,0
28.1920944,-9.78E-06,1.81E-05,-5.48E-06,-0.009775162,0.018119812,-0.005483627,1,0
28.1920944,-9.78E-06,1.86E-05,-5.48E-06,-0.009775162,0.018596649,-0.005483627,2,0
28.1920944,-9.54E-06,1.91E-05,-5.48E-06,-0.009536743,0.019073486,-0.005483627,3,0
28.1920944,-9.78E-06,1.93E-05,-5.72E-06,-0.009775162,0.019311905,-0.005722046,0,0
28.1920944,-9.78E-06,1.98E-05,-5.72E-06,-0.009775162,0.019788742,-0.005722046,1,0
28.1920944,-1.03E-05,2.00E-05,-5.48E-06,-0.010251999,0.020027161,-0.005483627,2,0
28.1920944,-1.03E-05,2.03E-05,-5.48E-06,-0.010251999,0.020265579,-0.005483627,3,0
28.1920944,-1.05E-05,2.05E-05,-5.48E-06,-0.010490417,0.020503998,-0.005483627,0,0
28.1920944,-1.07E-05,2.07E-05,-5.48E-06,-0.010728836,0.020742416,-0.005483627,1,0
28.1920944,-1.07E-05,2.10E-05,-5.72E-06,-0.010728836,0.020980835,-0.005722046,2,0
28.1920944,-1.10E-05,2.10E-05,-5.72E-06,-0.010967255,0.020980835,-0.005722046,3,0
28.1920944,-1.10E-05,2.12E-05,-5.72E-06,-0.010967255,0.021219254,-0.005722046,0,0
28.1920944,-1.10E-05,2.15E-05,-5.96E-06,-0.010967255,0.021457672,-0.005960464,1,0
28.1920944,-1.10E-05,2.17E-05,-5.96E-06,-0.010967255,0.021696091,-0.005960464,2,0
28.1920944,-1.12E-05,2.22E-05,-6.20E-06,-0.011205673,0.022172928,-0.006198883,3,0
28.1920944,-1.14E-05,2.26E-05,-6.20E-06,-0.011444092,0.022649765,-0.006198883,0,0
28.1920944,-1.17E-05,2.29E-05,-6.44E-06,-0.01168251,0.022888184,-0.006437302,1,0
28.1920944,-1.19E-05,2.34E-05,-6.68E-06,-0.011920929,0.023365021,-0.00667572,2,0
28.1920944,-1.22E-05,2.36E-05,-6.68E-06,-0.012159348,0.023603439,-0.00667572,3,0
28.1920944,-1.22E-05,2.43E-05,-6.91E-06,-0.012159348,0.024318695,-0.006914139,0,0
28.1920944,-1.22E-05,2.48E-05,-7.39E-06,-0.012159348,0.024795532,-0.007390976,1,0
28.1920944,-1.24E-05,2.50E-05,-7.39E-06,-0.012397766,0.025033951,-0.007390976,2,0
28.1920944,-1.24E-05,2.53E-05,-7.87E-06,-0.012397766,0.025272369,-0.007867813,3,0
28.1920944,-1.24E-05,2.55E-05,-7.87E-06,-0.012397766,0.025510788,-0.007867813,0,0
28.1920944,-1.24E-05,2.57E-05,-8.11E-06,-0.012397766,0.025749207,-0.008106232,1,0
28.1920944,-1.22E-05,2.62E-05,-8.11E-06,-0.012159348,0.026226044,-0.008106232,2,0
28.1920944,-1.24E-05,2.67E-05,-8.34E-06,-0.012397766,0.026702881,-0.00834465,3,0
28.1920944,-1.24E-05,2.69E-05,-8.82E-06,-0.012397766,0.026941299,-0.008821487,0,0
28.1920944,-1.26E-05,2.77E-05,-8.82E-06,-0.012636185,0.027656555,-0.008821487,1,0
28.1920944,-1.26E-05,2.81E-05,-9.06E-06,-0.012636185,0.028133392,-0.009059906,2,0
28.1920944,-1.29E-05,2.86E-05,-9.54E-06,-0.012874603,0.028610229,-0.009536743,3,0
28.1920944,-1.31E-05,2.93E-05,-9.54E-06,-0.013113022,0.029325485,-0.009536743,0,0
28.1920944,-1.34E-05,2.98E-05,-1.00E-05,-0.01335144,0.029802322,-0.01001358,1,0
28.1920944,-1.36E-05,3.03E-05,-1.05E-05,-0.013589859,0.03027916,-0.010490417,2,0
28.1920944,-1.38E-05,3.08E-05,-1.07E-05,-0.013828278,0.030755997,-0.010728836,3,0
28.1920944,-1.41E-05,3.10E-05,-1.10E-05,-0.014066696,0.030994415,-0.010967255,0,0
28.1920944,-1.43E-05,3.15E-05,-1.12E-05,-0.014305115,0.031471252,-0.011205673,1,0
28.1920944,-1.43E-05,3.17E-05,-1.17E-05,-0.014305115,0.031709671,-0.01168251,2,0
28.1920944,-1.43E-05,3.19E-05,-1.17E-05,-0.014305115,0.03194809,-0.01168251,3,0
28.1920944,-1.48E-05,3.22E-05,-1.19E-05,-0.014781952,0.032186508,-0.011920929,0,0
28.1920944,-1.48E-05,3.24E-05,-1.22E-05,-0.014781952,0.032424927,-0.012159348,1,0
28.1920944,-1.50E-05,3.24E-05,-1.26E-05,-0.01502037,0.032424927,-0.012636185,2,0
28.1920944,-1.50E-05,3.31E-05,-1.26E-05,-0.01502037,0.033140182,-0.012636185,3,0
28.1920944,-1.53E-05,3.34E-05,-1.26E-05,-0.015258789,0.033378601,-0.012636185,0,0
28.1920944,-1.55E-05,3.39E-05,-1.29E-05,-0.015497208,0.033855438,-0.012874603,1,0
28.1920944,-1.57E-05,3.46E-05,-1.31E-05,-0.015735626,0.034570694,-0.013113022,2,0
28.1920944,-1.60E-05,3.53E-05,-1.34E-05,-0.015974045,0.03528595,-0.01335144,3,0
28.1920944,-1.65E-05,3.60E-05,-1.34E-05,-0.016450882,0.036001205,-0.01335144,0,0
28.1920944,-1.67E-05,3.67E-05,-1.36E-05,-0.016689301,0.036716461,-0.013589859,1,0
28.1920944,-1.67E-05,3.74E-05,-1.36E-05,-0.016689301,0.037431717,-0.013589859,2,0
28.1920944,-1.72E-05,3.81E-05,-1.41E-05,-0.017166138,0.038146973,-0.014066696,3,0
28.1920944,-1.74E-05,3.86E-05,-1.45E-05,-0.017404556,0.03862381,-0.014543533,0,0
28.1920944,-1.74E-05,3.93E-05,-1.48E-05,-0.017404556,0.039339066,-0.014781952,1,0
28.1920944,-1.76E-05,3.98E-05,-1.50E-05,-0.017642975,0.039815903,-0.01502037,2,0
28.1920944,-1.76E-05,4.03E-05,-1.55E-05,-0.017642975,0.04029274,-0.015497208,3,0
